Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2024 5:18:23 AM

Exports by,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2013-2023,Percentage,Sum total years,Percentage of total
United States,7694,9490,9868,9465,11444,9576,10908,9532,11074,15592,11287,115929,37%,115929,37%
Russia,7780,5335,5788,6706,6376,6901,5051,3523,2315,2603,1269,53647,17%,53647,17%
France,1799,1768,2271,2141,2315,1879,3724,2387,3892,3268,2012,27456,8.8%,27456,8.8%
China,2061,1327,1814,2445,1625,1358,1593,700,1310,2083,2432,18747,6.0%,18747,6.0%
Germany,729,1822,1812,2509,1841,1110,997,1161,857,1481,3287,17607,5.6%,17607,5.6%
United Kingdom,1493,1658,1183,1324,1107,680,919,637,717,1665,1204,12586,4.0%,12586,4.0%
Italy,886,674,687,621,705,537,383,825,1650,1716,1437,10121,3.2%,10121,3.2%
Israel,417,400,570,1236,1193,1147,384,395,619,870,1159,8391,2.7%,8391,2.7%
Spain,450,962,982,481,820,705,308,981,619,970,940,8216,2.6%,8216,2.6%
South Korea,350,220,94,437,702,1049,682,772,510,204,621,5640,1.8%,5640,1.8%
Netherlands,384,643,469,484,1067,466,302,462,357,323,258,5215,1.7%,5215,1.7%
Turkiye,139,157,225,244,179,249,276,265,487,535,609,3364,1.1%,3364,1.1%
Ukraine,683,630,299,455,376,313,165,116,167,72,34,3308,1.1%,3308,1.1%
Sweden,386,345,193,257,81,154,215,279,329,66,299,2603,0.8%,2603,0.8%
Switzerland,194,337,482,217,175,243,218,159,113,185,93,2416,0.8%,2416,0.8%
Canada,160,173,321,91,61,115,221,110,118,175,285,1831,0.6%,1831,0.6%
Australia,54,95,85,135,100,39,164,413,176,33,67,1361,0.4%,1361,0.4%
Norway,153,138,182,104,121,59,31,67,114,72,222,1262,0.4%,1262,0.4%
Poland,147,33,2,5,10,26,10,0 ,3,419,499,1153,0.4%,1153,0.4%
Belarus,269,101,142,152,51,79,84,59,132,58,15,1142,0.4%,1142,0.4%
UAE,108,87,142,95,101,114,128,194,58,17,14,1058,0.3%,1058,0.3%
South Africa,111,63,67,82,96,82,101,115,97,58,31,903,0.3%,903,0.3%
Czechia,41,26,151,153,90,91,19,26,6,163,93,858,0.3%,858,0.3%
Brazil,31,30,52,123,36,102,21,163,86,8,54,706,0.2%,706,0.2%
Jordan,33,114,16,18,80,1,103,66,80,51,11,573,0.2%,573,0.2%
India,18,40,42,49,56,47,20,153,54,7,34,517,0.2%,517,0.2%
Belgium,55,10,12,7,17,21,57,26,92,144,40,484,0.2%,484,0.2%
Finland,69,93,26,54,28,39,25,12,15,40,32,434,0.1%,434,0.1%
Iran,17,52,15,5,15,,,6,,136,184,429,0.1%,429,0.1%
Portugal,,18,7,172,56,3,3,46,11,2,10,328,0.1%,328,0.1%
Singapore,7,12,80,77,,,,24,72,36,11,320,0.1%,320,0.1%
Bulgaria,23,23,81,83,33,14,10,3,7,34,,313,0.1%,313,0.1%
Slovakia,1,8,3,20,22,12,8,11,,71,154,310,0.1%,310,0.1%
Serbia,10,10,62,86,11,27,26,49,3,,,284,0.1%,284,0.1%
unknown supplier(s),10,26,12,5,6,8,12,4,40,48,92,262,0.1%,262,0.1%
