Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2024 5:16:58 AM

Recipient,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2013-2023,Percentage,Sum total years,Percentage of total
India,5242,3201,2724,2553,2656,2006,3147,2637,3959,2582,1428,32136,10%,32136,10%
Saudi Arabia,1511,2711,3384,2974,3968,3170,3065,2399,1803,3132,1315,29433,9.4%,29433,9.4%
Egypt,719,430,1443,1641,2462,1630,1091,1360,1325,733,1130,13963,4.5%,13963,4.5%
Qatar,82,55,488,596,321,691,2438,963,2077,3384,1805,12901,4.1%,12901,4.1%
China,1261,1041,1252,1223,1550,2029,1341,779,686,717,471,12348,4.0%,12348,4.0%
Australia,220,857,1470,1029,1664,1582,1184,1650,1215,827,362,12059,3.9%,12059,3.9%
Pakistan,1107,860,771,831,873,890,737,685,1035,1466,2129,11385,3.7%,11385,3.7%
UAE,2283,738,1186,946,832,1128,862,574,530,452,902,10433,3.3%,10433,3.3%
Algeria,361,716,896,2914,1136,1287,167,600,162,313,355,8906,2.9%,8906,2.9%
South Korea,189,742,268,1038,962,1030,1605,1273,812,423,189,8528,2.7%,8528,2.7%
Japan,342,329,356,346,446,764,992,932,1112,1569,1103,8291,2.7%,8291,2.7%
United States,797,595,512,435,495,350,892,803,846,748,693,7165,2.3%,7165,2.3%
Ukraine,,1,22,5,4,70,30,18,46,2789,4012,6998,2.2%,6998,2.2%
Turkiye,769,1527,445,328,429,488,769,108,282,186,936,6269,2.0%,6269,2.0%
United Kingdom,509,217,423,282,1002,458,402,652,878,863,555,6242,2.0%,6242,2.0%
