country,total_national_populations,total_available_military_manpower,total_manpower_fir_for_military_service,total_population_reaching_military_age_annually,active_service_military_manpower,active_service_reserve_components,active_paramilitary_force_strength,total_military_aircraft_strength,total_fighter/interceptor_aircraft_strength,total_attack_aircraft_strength,total_military_transport_aircraft_strength,total_military_trainer_aircraft_strength,special_mission_aircraft_fleets,aerial_tanker_aircraft_fleet_strength,total_helicopter_strength,total_attack_helicopter_strength,total_combat_tank_strength,total_armored_fighting_vehicle_strength,total_self_propelled_artillery_strength,total_towed_artillery_strength,total_rocket_launcher_vehicle_strength,navy_strength,aircraft_carrier_strength,helicopter_carrier_strength,navy_submarine_strength,destroyer_warship_strength,navy_frigate_warship_strength,navy_corvette_warship_strength,navy_patrol_craft_strength,navy_mine_warfare_craft_strength,national_annual_defense_budgets,national_external_debts,purchasing_power_parities,national_reserves_of_foreign_exchange_and_gold,total_number_of_serviceable_airports,total_labor_force_strength,major_ports_and_terminals_totals,total_merchant_marine_strength,country_railway_coverage_totals,country_roadway_coverage_totals,oil_production_figures,oil_consumption_figures,total_proven_oil_reserves,natural_gas_production_figures,natural_gas_consumption_figures,total_proven_natural_gas_reserves,coal_production_figures,coal_consumption_figures,total_proven_coal_reserves,square_land_area,coastline_distances,total_shared_borders_by_countries,total_waterway_coverage_by_countries,country_code,capital_city,capital_city_population,rank,pwr_index
Afghanistan,39232003,15300481,8631041,823872,0,0,80000,17,0,0,0,0,0,0,11,2,0,6555,0,0,0,0,0,0,0,0,0,0,0,0,1100000000,145000000,60803000000,8500000000,46,9390000,2,0,0,34903,0,25000,0,80193000,80193000,49554000000,2096000,2096000,66000000,652230,0,5987,1200,AFG,Kabul,"44,35,000",115,2.2715
Albania,3101621,1519794,1290274,62032,6600,2000,500,19,0,0,0,0,0,0,19,0,40,976,0,0,0,19,0,0,0,0,0,0,19,0,386000000,10000000000,40822000000,5635000000,3,1378000,4,69,424,3945,16100,26500,150000000,42050000,42050000,5692000000,9000,119000,522000000,28748,362,691,41,ALB,Tirana,"5,12,000",90,1.8188
Algeria,44758398,21484031,18261426,716134,325000,135000,150000,605,102,42,61,87,10,5,298,75,1632,35990,224,483,236,213,0,0,6,0,8,16,75,3,21600000000,6000000000,4.88E+11,56211000000,149,12312000,12,119,4020,104000,1415000,450500,12200000000,87853976000,46945035000,4.50E+12,0,85000,59000000,2381740,998,6734,0,DZA,Algiers,"28,54,000",26,0.3589
Angola,35981281,7196256,3598128,359813,107000,0,10000,297,57,26,30,66,2,0,116,15,310,5500,28,552,123,40,0,0,0,0,0,0,38,2,1623000000,45000000000,2.04E+11,14468000000,102,14462000,6,58,2761,26000,1200000,135000,7785000000,6767715000,860887000,3.43E+11,0,0,0,1246700,1600,5369,1300,AGO,Luanda,"89,52,000",55,0.8702
Argentina,46621847,20513613,17436571,699328,108000,0,20000,229,24,10,22,69,12,2,90,0,348,21724,50,172,26,41,0,0,2,4,0,9,13,0,2544000000,2.80E+11,9.86E+11,39653000000,916,21206000,10,203,17866,281290,700000,700000,2483000000,41194148000,49476585000,3.96E+11,829000,1550000,500000000,2780400,4989,11968,11000,ARG,Buenos Aires,"1,53,70,000",28,0.3823
Armenia,2989091,1673891,1371993,44836,57500,210000,5000,64,4,10,2,10,0,0,36,20,221,736,37,145,100,0,0,0,0,0,0,0,0,0,1380000000,12000000000,39613000000,3230000000,7,1153000,0,0,686,7700,0,11000,0,0,2537497000,0,0,12000,163000000,29743,0,1570,0,ARM,Yerevan,"10,92,000",102,2.0583
Australia,26461166,11113690,9102641,291073,57350,32050,0,325,24,60,38,101,32,6,79,22,59,16162,0,48,0,43,0,2,6,3,8,0,4,4,52559000000,3.12E+12,1.28E+12,57878000000,418,13786000,29,587,36064,873573,445000,1175000,2446000000,1.42E+11,41905381000,3.23E+12,504051000,99048000,1.49E+11,7741220,25760,0,2000,AUS,Canberra,"4,67,000",16,0.2515
Austria,8940860,4023387,3621048,98349,16000,125600,0,104,15,0,11,16,0,0,66,0,58,848,53,0,0,0,0,0,0,0,0,0,0,0,5666193750,7.00E+11,4.85E+11,33957000000,50,4661000,4,1,6123,137039,20000,280000,35200000,924515000,9207632000,5040000000,1327000,4899000,0,83871,0,2524,358,AUT,Vienna,"19,60,000",71,1.2351
Azerbaijan,10420515,5106052,3824329,156308,126400,300000,15000,144,12,11,2,33,0,0,86,16,920,29312,294,300,218,24,0,0,4,0,1,0,15,7,3770000000,20000000000,1.46E+11,8307000000,23,4919000,1,309,2944,24981,712000,110000,7000000000,23075000000,11468000000,1.70E+12,0,19000,0,86600,713,2468,0,AZE,Baku,"24,01,000",59,0.9934
Bahrain,1553886,839098,714788,17093,18400,110000,1500,120,18,0,3,40,0,0,74,28,180,2598,38,26,17,58,0,0,0,0,1,2,50,0,1538800000,55000000000,72267000000,4993000000,4,819100,2,190,0,4122,185000,75000,186500000,18271840000,18251140000,81382000000,0,0,0,760,161,0,0,BHR,Manama,"6,89,000",86,1.7163
