Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2024 5:23:05 AM

,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2013-2023,Percentage,Sum total years,Percentage of total
Aircraft,10721,11557,12916,12414,14166,11760,13956,11369,13314,15078,10191,137443,44%,137443,44%
Ships,4116,4424,3918,4422,5093,3488,2017,3076,3853,3935,5483,43822,14%,43822,14%
Missiles,3938,3111,3088,4046,4105,4337,3839,3330,3278,5360,5329,43760,14%,43760,14%
Armoured vehicles,2852,2956,2710,3882,3147,2940,2389,2271,2283,3994,3126,32551,10%,32551,10%
Air defence systems,1588,1230,1872,2265,1596,1677,1218,567,705,1276,1395,15389,4.9%,15389,4.9%
Sensors,1785,1690,1799,1595,1098,1006,1095,800,1009,1598,1485,14958,4.8%,14958,4.8%
Engines,1223,1217,1299,1385,1369,1375,1587,1330,1073,1069,934,13863,4.4%,13863,4.4%
Artillery,459,288,366,396,210,382,398,493,369,686,596,4644,1.5%,4644,1.5%
Other,236,163,200,119,142,134,514,319,281,332,287,2727,0.9%,2727,0.9%
Naval weapons,207,287,185,161,176,231,155,153,178,209,279,2219,0.7%,2219,0.7%
Satellites,,100,,100,100,50,50,50,10,10,,470,0.2%,470,0.2%
Total,27125,27023,28353,30785,31202,27380,27218,23758,26353,33547,29105,311846,99%,311846,99%


